time,temperature,humidity
1:28:15,26.31,63.57
1:29:16,26.28,63.58
1:30:16,26.27,63.52
1:31:17,26.25,63.58
1:32:18,26.26,63.67
1:33:18,26.27,63.71
1:34:19,26.24,63.75
1:35:19,26.24,63.81
1:36:20,26.24,63.93
1:37:20,26.24,63.79
1:38:21,26.16,61.33
1:39:21,26.06,60.91
1:40:22,26.04,61.34
1:41:23,26.05,61.88
1:42:23,26.04,62.25
1:43:24,26.06,62.47
1:44:24,26.06,62.62
1:45:25,26.06,62.81
1:46:25,26.07,63.05
1:47:26,26.13,63.01
1:48:26,26.09,63.12
1:49:27,26.06,63.29
1:50:27,26.09,63.29
1:51:28,26.07,63.38
1:52:28,26.09,63.59
1:53:29,26.11,63.53
1:54:30,26.08,63.62
1:55:30,26.09,63.63
1:56:31,26.11,63.61
1:57:31,26.08,63.68
1:58:32,26.08,63.72
1:59:32,26.09,63.68
2:00:33,26.09,63.75
2:01:33,26.06,63.85
2:02:34,26.08,63.77
2:03:34,26.07,63.75
2:04:35,26.06,63.71
2:05:36,26.07,63.89
2:06:36,26.08,63.97
2:07:37,26.07,63.79
2:08:37,26.07,63.69
2:09:38,26.08,63.62
2:10:38,26.01,61.02
2:11:39,25.91,60.95
2:12:39,25.86,61.59
2:13:40,25.85,61.94
2:14:40,25.88,62.42
2:15:41,25.89,62.57
2:16:41,25.9,62.57
2:17:42,25.93,62.73
2:18:42,25.93,62.82
2:19:43,25.92,62.83
2:20:43,25.93,63
2:21:44,25.96,63.01
2:22:44,25.92,63.04
2:23:45,25.95,63.2
2:24:46,25.96,63.11
2:25:46,25.96,63.28
2:26:47,25.95,63.34
2:27:47,25.96,63.24
2:28:48,25.96,63.18
2:29:48,25.97,63.37
2:30:49,25.99,63.31
2:31:49,25.97,63.34
2:32:50,25.96,63.34
2:33:50,25.97,63.37
2:34:51,25.96,63.41
2:35:51,25.96,63.32
2:36:52,25.95,63.3
2:37:52,25.96,63.42
2:38:53,25.97,63.3
2:39:53,25.96,63.31
2:40:54,25.95,63.35
2:41:55,25.91,62.51
2:42:55,25.79,60.36
2:43:56,25.72,60.67
2:44:56,25.73,61.26
2:45:57,25.69,61.67
2:46:57,25.73,61.9
2:47:58,25.74,62.06
2:48:58,25.74,62.37
2:49:59,25.72,62.37
2:50:59,25.75,62.52
2:52:00,25.75,62.65
2:53:01,25.75,62.59
2:54:01,25.79,62.6
2:55:02,25.8,62.74
2:56:02,25.81,62.8
2:57:03,25.81,62.89
2:58:03,25.82,62.75
2:59:04,25.83,62.7
3:00:04,25.8,62.71
3:01:05,25.8,62.86
3:02:05,25.8,62.89
3:03:06,25.84,62.85
3:04:06,25.81,63.02
3:05:07,25.77,62.94
3:06:07,25.78,63.04
3:07:08,25.79,63.02
3:08:08,25.77,63.02
3:09:09,25.78,63.08
3:10:09,25.77,62.98
3:11:10,25.78,63.08
3:12:10,25.8,63.12
3:13:11,25.78,63.06
3:14:12,25.76,61.85
3:15:12,25.67,60.18
3:16:13,25.56,60.39
3:17:13,25.57,61.13
3:18:14,25.59,61.5
3:19:14,25.6,61.55
3:20:15,25.61,61.65
3:21:15,25.6,61.77
3:22:16,25.62,61.88
3:23:16,25.65,62.05
3:24:17,25.65,62.17
3:25:17,25.66,62.29
3:26:18,25.67,62.18
3:27:18,25.66,62.23
3:28:19,25.64,62.24
3:29:19,25.65,62.4
3:30:20,25.64,62.33
3:31:21,25.65,62.32
3:32:21,25.64,62.46
3:33:22,25.65,62.51
3:34:22,25.66,62.51
3:35:23,25.64,62.61
3:36:23,25.67,62.6
3:37:24,25.66,62.67
3:38:24,25.67,62.73
3:39:25,25.67,62.86
3:40:25,25.68,62.88
3:41:26,25.68,62.84
3:42:26,25.69,62.74
3:43:27,25.68,62.91
3:44:27,25.68,62.9
3:45:28,25.68,62.8
3:46:28,25.64,60.76
3:47:29,25.48,59.89
3:48:29,25.44,60.48
3:49:30,25.44,60.92
3:50:30,25.45,61.31
3:51:31,25.46,61.38
3:52:31,25.48,61.54
3:53:32,25.49,61.76
3:54:32,25.51,61.97
3:55:33,25.54,61.89
3:56:34,25.55,61.98
3:57:34,25.54,62
3:58:35,25.54,62.11
3:59:35,25.56,62.2
4:00:36,25.58,62.1
4:01:36,25.6,62.2
4:02:37,25.62,62.81
4:03:37,25.72,63.23
4:04:38,25.75,63.13
4:05:38,25.82,63.13
4:06:39,25.88,63.16
4:07:39,25.93,62.91
4:08:40,26,62.92
4:09:40,26.07,62.67
4:10:41,26.14,63.79
4:11:41,26.17,63.9
4:12:42,26.22,63.49
4:13:42,26.26,64.12
4:14:43,26.31,64.08
4:15:44,26.34,64.04
4:16:44,26.37,64.55
4:17:45,26.38,64.48
4:18:45,26.4,64.93
4:19:46,26.43,65.36
4:20:46,26.46,65.34
4:21:47,26.43,65.31
4:22:47,26.48,65.27
4:23:48,26.53,65.8
4:24:48,26.55,65.6
4:25:49,26.56,66.34
4:26:50,26.61,66.61
4:27:50,26.61,66.27
4:28:51,26.61,66.5
4:29:51,26.65,66.74
4:30:52,26.63,66.46
4:31:52,26.67,66.71
4:32:53,26.67,66.81
4:33:53,26.68,67.51
4:34:54,26.7,67.42
4:35:55,26.7,68.14
4:36:55,26.73,68.14
4:37:56,26.73,68.57
4:38:56,26.78,68.23
