Timestamp(ms),Current(uA),D0-D7
61.72,3.051,10000000
61.73,3.095,10000000
61.74,3.139,10000000
61.75,3.051,10000000
61.76,2.92,10000000
61.77,3.139,10000000
61.78,3.007,10000000
61.79,2.964,10000000
61.8,3.139,10000000
61.81,3.007,10000000
61.82,3.139,10000000
61.83,3.051,10000000
61.84,2.876,10000000
61.85,2.876,10000000
61.86,3.007,10000000
61.87,3.051,10000000
61.88,3.095,10000000
61.89,3.139,10000000
61.9,3.007,10000000
61.91,2.964,10000000
61.92,3.139,10000000
61.93,3.007,10000000
61.94,3.051,10000000
61.95,3.007,10000000
61.96,3.227,10000000
61.97,3.007,10000000
61.98,3.051,10000000
61.99,2.964,10000000
62,2.964,10000000
62.01,3.007,10000000
62.02,3.095,10000000
62.03,3.051,10000000
62.04,2.964,10000000
62.05,3.051,10000000
62.06,3.007,10000000
62.07,2.92,10000000
62.08,3.051,10000000
62.09,3.095,10000000
62.1,3.007,10000000
62.11,3.139,10000000
62.12,3.227,10000000
62.13,3.139,10000000
62.14,2.964,10000000
62.15,2.92,10000000
62.16,3.095,10000000
62.17,3.139,10000000
62.18,2.92,10000000
62.19,3.051,10000000
62.2,3.139,10000000
62.21,3.183,10000000
62.22,3.007,10000000
62.23,3.139,10000000
62.24,3.051,10000000
62.25,2.964,10000000
62.26,3.139,10000000
62.27,2.964,10000000
62.28,2.92,10000000
62.29,2.964,10000000
62.3,2.964,10000000
62.31,3.051,10000000
62.32,2.92,10000000
62.33,3.183,10000000
62.34,3.095,10000000
62.35,2.964,10000000
62.36,3.051,10000000
62.37,3.051,10000000
62.38,3.139,10000000
62.39,3.095,10000000
62.4,2.92,10000000
62.41,3.095,10000000
62.42,3.051,10000000
62.43,2.92,10000000
62.44,3.051,10000000
62.45,3.095,10000000
62.46,3.183,10000000
62.47,3.095,10000000
62.48,3.051,10000000
62.49,3.051,10000000
62.5,3.051,10000000
62.51,3.051,10000000
62.52,2.832,10000000
62.53,2.92,10000000
62.54,3.139,10000000
62.55,2.964,10000000
62.56,2.964,10000000
62.57,3.095,10000000
62.58,3.139,10000000
62.59,3.139,10000000
62.6,3.051,10000000
62.61,3.051,10000000
62.62,3.139,10000000
62.63,3.095,10000000
62.64,2.964,10000000
62.65,3.051,10000000
62.66,3.139,10000000
62.67,3.051,10000000
62.68,3.007,10000000
62.69,3.051,10000000
62.7,2.92,10000000
62.71,2.876,10000000
62.72,2.92,10000000
62.73,3.007,10000000
62.74,2.964,10000000
62.75,3.095,10000000
62.76,2.92,10000000
62.77,2.964,10000000
62.78,2.92,10000000
62.79,3.095,10000000
62.8,3.139,10000000
62.81,3.007,10000000
62.82,3.139,10000000
62.83,3.183,10000000
62.84,3.183,10000000
62.85,3.139,10000000
62.86,3.095,10000000
62.87,3.271,10000000
62.88,3.007,10000000
62.89,3.051,10000000
62.9,3.095,10000000
62.91,3.007,10000000
62.92,3.095,10000000
62.93,2.832,10000000
62.94,3.007,10000000
62.95,3.095,10000000
62.96,3.007,10000000
62.97,3.051,10000000
62.98,3.007,10000000
62.99,3.051,10000000
63,3.095,10000000
63.01,3.007,10000000
63.02,3.007,10000000
63.03,3.051,10000000
63.04,3.095,10000000
63.05,3.007,10000000
63.06,2.876,10000000
63.07,2.964,10000000
63.08,2.876,10000000
63.09,3.051,10000000
63.1,2.92,10000000
63.11,3.051,10000000
63.12,3.007,10000000
63.13,3.051,10000000
63.14,3.007,10000000
63.15,3.051,10000000
63.16,2.964,10000000
63.17,3.139,10000000
63.18,3.227,10000000
63.19,3.095,10000000
63.2,3.139,10000000
63.21,3.051,10000000
63.22,3.183,10000000
63.23,3.139,10000000
63.24,3.183,10000000
63.25,3.007,10000000
63.26,3.007,10000000
63.27,3.095,10000000
63.28,3.007,10000000
63.29,3.095,10000000
63.3,2.92,10000000
63.31,3.051,10000000
63.32,3.007,10000000
63.33,3.095,10000000
63.34,2.92,10000000
63.35,2.964,10000000
63.36,3.139,10000000
63.37,3.051,10000000
63.38,3.227,10000000
63.39,3.095,10000000
63.4,2.964,10000000
63.41,3.095,10000000
63.42,3.139,10000000
63.43,3.095,10000000
63.44,2.832,10000000
63.45,3.095,10000000
63.46,3.007,10000000
63.47,2.876,10000000
63.48,3.095,10000000
63.49,3.139,10000000
63.5,3.139,10000000
63.51,3.139,10000000
63.52,2.832,10000000
63.53,2.92,10000000
63.54,3.051,10000000
63.55,2.92,10000000
63.56,2.92,10000000
63.57,2.876,10000000
63.58,3.139,10000000
63.59,3.051,10000000
63.6,3.051,10000000
63.61,3.139,10000000
63.62,3.139,10000000
63.63,2.92,10000000
63.64,3.095,10000000
63.65,3.139,10000000
63.66,3.095,10000000
63.67,3.095,10000000
63.68,3.051,10000000
63.69,3.051,10000000
63.7,2.832,10000000
63.71,3.095,10000000
63.72,3.095,10000000
63.73,3.051,10000000
63.74,2.964,10000000
63.75,3.139,10000000
63.76,3.007,10000000
63.77,3.007,10000000
63.78,3.095,10000000
63.79,3.051,10000000
63.8,3.139,10000000
63.81,3.051,10000000
63.82,2.92,10000000
63.83,3.095,10000000
63.84,3.095,10000000
63.85,3.139,10000000
63.86,3.007,10000000
63.87,3.051,10000000
63.88,2.832,10000000
63.89,3.007,10000000
63.9,2.964,10000000
63.91,2.964,10000000
63.92,2.964,10000000
63.93,2.964,10000000
63.94,2.92,10000000
63.95,3.139,10000000
63.96,3.139,10000000
63.97,2.832,10000000
63.98,2.92,10000000
63.99,2.964,10000000
64,3.095,10000000
64.01,3.095,10000000
64.02,3.007,10000000
64.03,2.832,10000000
64.04,2.876,10000000
64.05,3.095,10000000
64.06,3.007,10000000
64.07,3.051,10000000
64.08,2.964,10000000
64.09,3.051,10000000
64.1,3.139,10000000
64.11,3.095,10000000
64.12,3.315,10000000
64.13,3.139,10000000
64.14,3.095,10000000
64.15,3.051,10000000
64.16,2.876,10000000
64.17,3.007,10000000
64.18,3.007,10000000
64.19,2.964,10000000
64.2,3.007,10000000
64.21,3.139,10000000
64.22,3.183,10000000
64.23,3.139,10000000
64.24,3.139,10000000
64.25,3.051,10000000
64.26,3.051,10000000
64.27,3.051,10000000
64.28,2.964,10000000
64.29,3.007,10000000
64.3,3.051,10000000
64.31,2.964,10000000
64.32,2.876,10000000
64.33,2.832,10000000
64.34,3.007,10000000
64.35,2.964,10000000
64.36,3.051,10000000
64.37,2.964,10000000
64.38,2.92,10000000
64.39,3.095,10000000
64.4,3.139,10000000
64.41,3.007,10000000
64.42,3.139,10000000
64.43,3.095,10000000
64.44,2.92,10000000
64.45,3.139,10000000
64.46,2.92,10000000
64.47,3.095,10000000
64.48,3.095,10000000
64.49,3.227,10000000
64.5,2.92,10000000
64.51,3.095,10000000
64.52,3.095,10000000
64.53,3.007,10000000
64.54,3.007,10000000
64.55,3.139,10000000
64.56,2.964,10000000
64.57,3.007,10000000
64.58,3.095,10000000
64.59,2.92,10000000
64.6,2.964,10000000
64.61,2.964,10000000
64.62,3.007,10000000
64.63,3.139,10000000
64.64,2.876,10000000
64.65,3.051,10000000
64.66,3.007,10000000
64.67,3.051,10000000
64.68,3.007,10000000
64.69,3.007,10000000
64.7,3.095,10000000
64.71,3.139,10000000
64.72,3.007,10000000
64.73,3.051,10000000
64.74,3.095,10000000
64.75,3.139,10000000
64.76,3.139,10000000
64.77,3.051,10000000
64.78,3.051,10000000
64.79,3.051,10000000
64.8,2.92,10000000
64.81,2.876,10000000
64.82,3.183,10000000
64.83,3.095,10000000
64.84,3.007,10000000
64.85,3.007,10000000
64.86,3.227,10000000
64.87,3.139,10000000
64.88,3.183,10000000
64.89,3.051,10000000
64.9,3.095,10000000
64.91,3.271,10000000
64.92,3.095,10000000
64.93,3.007,10000000
64.94,3.051,10000000
64.95,3.183,10000000
64.96,3.051,10000000
64.97,3.007,10000000
64.98,3.007,10000000
64.99,2.92,10000000
65,3.095,10000000
65.01,2.964,10000000
65.02,3.051,10000000
65.03,3.051,10000000
65.04,2.964,10000000
65.05,2.92,10000000
65.06,2.92,10000000
65.07,3.183,10000000
65.08,3.051,10000000
65.09,3.139,10000000
65.1,3.095,10000000
65.11,3.183,10000000
65.12,3.051,10000000
65.13,3.095,10000000
65.14,3.007,10000000
65.15,2.964,10000000
65.16,3.007,10000000
65.17,3.051,10000000
65.18,2.92,10000000
65.19,3.095,10000000
65.2,3.139,10000000
65.21,3.227,10000000
65.22,3.315,10000000
65.23,2.964,10000000
65.24,3.007,10000000
65.25,2.92,10000000
65.26,3.007,10000000
65.27,3.007,10000000
65.28,3.007,10000000
65.29,2.92,10000000
65.3,3.007,10000000
65.31,2.964,10000000
65.32,2.964,10000000
65.33,3.051,10000000
65.34,3.183,10000000
65.35,3.095,10000000
65.36,3.139,10000000
65.37,2.964,10000000
65.38,2.92,10000000
65.39,3.095,10000000
65.4,3.051,10000000
65.41,3.095,10000000
65.42,2.964,10000000
65.43,2.964,10000000
65.44,3.095,10000000
65.45,3.007,10000000
65.46,3.007,10000000
65.47,2.92,10000000
65.48,3.007,10000000
65.49,3.007,10000000
65.5,3.007,10000000
65.51,3.007,10000000
65.52,3.139,10000000
65.53,3.051,10000000
65.54,2.964,10000000
65.55,3.007,10000000
65.56,3.051,10000000
65.57,3.007,10000000
65.58,2.964,10000000
65.59,2.92,10000000
65.6,2.964,10000000
65.61,2.964,10000000
65.62,3.007,10000000
65.63,3.095,10000000
65.64,2.92,10000000
65.65,3.051,10000000
65.66,3.095,10000000
65.67,3.095,10000000
65.68,3.007,10000000
65.69,3.007,10000000
65.7,2.964,10000000
65.71,3.007,10000000
65.72,3.051,10000000
65.73,3.095,10000000
65.74,3.095,10000000
65.75,3.007,10000000
65.76,2.92,10000000
65.77,3.095,10000000
65.78,3.007,10000000
65.79,3.095,10000000
65.8,2.92,10000000
65.81,2.876,10000000
65.82,3.095,10000000
65.83,3.007,10000000
65.84,2.964,10000000
65.85,3.051,10000000
65.86,3.007,10000000
65.87,3.007,10000000
65.88,3.139,10000000
65.89,3.095,10000000
65.9,3.051,10000000
65.91,3.051,10000000
65.92,3.095,10000000
65.93,3.051,10000000
65.94,3.095,10000000
65.95,3.095,10000000
65.96,3.095,10000000
65.97,3.007,10000000
65.98,3.051,10000000
65.99,3.139,10000000
66,3.095,10000000
66.01,3.139,10000000
66.02,3.139,10000000
66.03,3.139,10000000
66.04,3.139,10000000
66.05,3.051,10000000
66.06,3.095,10000000
66.07,3.007,10000000
66.08,3.095,10000000
66.09,3.139,10000000
66.1,3.007,10000000
66.11,3.007,10000000
66.12,3.183,10000000
66.13,3.095,10000000
66.14,2.92,10000000
66.15,3.095,10000000
66.16,3.007,10000000
66.17,3.051,10000000
66.18,3.183,10000000
66.19,3.095,10000000
66.2,3.271,10000000
66.21,3.227,10000000
66.22,3.227,10000000
66.23,3.095,10000000
66.24,2.92,10000000
66.25,3.139,10000000
66.26,3.095,10000000
66.27,3.007,10000000
66.28,3.051,10000000
66.29,3.095,10000000
66.3,3.051,10000000
66.31,3.095,10000000
66.32,3.051,10000000
66.33,3.007,10000000
66.34,3.051,10000000
66.35,3.095,10000000
66.36,3.095,10000000
66.37,3.051,10000000
66.38,3.007,10000000
66.39,3.139,10000000
66.4,2.964,10000000
66.41,3.095,10000000
66.42,3.051,10000000
66.43,2.964,10000000
66.44,3.007,10000000
66.45,2.832,10000000
66.46,3.051,10000000
66.47,2.964,10000000
66.48,3.139,10000000
66.49,2.964,10000000
66.5,3.007,10000000
66.51,3.095,10000000
66.52,3.139,10000000
66.53,3.051,10000000
66.54,3.139,10000000
66.55,3.051,10000000
66.56,3.051,10000000
66.57,3.095,10000000
66.58,3.051,10000000
66.59,2.964,10000000
66.6,3.095,10000000
66.61,2.92,10000000
66.62,2.964,10000000
66.63,3.095,10000000
66.64,3.007,10000000
66.65,3.051,10000000
66.66,3.051,10000000
66.67,2.92,10000000
66.68,3.007,10000000
66.69,3.051,10000000
66.7,3.007,10000000
66.71,3.095,10000000
66.72,3.139,10000000
66.73,3.095,10000000
66.74,3.007,10000000
66.75,3.007,10000000
66.76,2.964,10000000
66.77,2.964,10000000
66.78,2.92,10000000
66.79,3.051,10000000
66.8,3.095,10000000
66.81,3.139,10000000
66.82,3.227,10000000
66.83,3.183,10000000
66.84,3.139,10000000
66.85,3.095,10000000
66.86,3.095,10000000
66.87,3.227,10000000
66.88,3.271,10000000
66.89,2.964,10000000
66.9,2.964,10000000
66.91,3.007,10000000
66.92,3.095,10000000
66.93,2.92,10000000
